x,y
2.38,7.4425
7.782,17.9819
9.37,20.0801
5.594,13.713
6.42,14.8246
9.424,20.1855
3.55,11.2252
5.736,13.4901
9.956,22.7234
9.396,20.6308
7.214,17.3737
7.568,18.5644
2.618,6.9068
2.256,8.7005
6.74,15.9489
1.248,6.2339
1.914,7.5333
9.642,22.1108
4.598,12.7698
8.74,20.851
0.738,3.7389
2.088,8.3728
4.36,11.8055
5.348,14.7331
5.574,12.674
0.716,4.196
8.436,19.7579
7.27,16.983
0.826,5.9106
6.18,16.3563
4.648,10.8674
5.422,13.3775
1.454,6.6358
2.802,9.2658
8.922,21.706
8.644,18.6637
0.86,5.9769
3.702,11.5217
0.376,3.0326
8.366,19.1213
6.694,16.3592
2.514,8.2039
9.284,21.9123
0.852,4.9613
4.254,11.5987
1.484,6.6943
5.642,12.8067
7.236,17.4166
7.714,18.8492
0.586,3.9423
